ir_k3_re ir_k3_r2_re ir_k3_r3_re ir_k5_re ir_k5_r2_re ir_k5_r3_re none skip
21756.999999999138 18939.5999999995 16071.300000000121 15459.849999999165 16874.850000000664 39307.25000000024 82.40000000014902 5.350000000348132
11603.350000001456 12928.199999999279 11468.649999999414 13783.749999999984 14581.899999999592 19102.35000000071 3808.750000001027 1513.949999999653
18767.099999999813 16502.499999999643 17973.449999999502 16890.800000000538 15984.650000000045 26156.300000000243 69.44999999980439 3.900000001166859
17545.050000000727 18529.55000000023 18325.449999998968 21563.349999999205 17121.050000000083 27312.200000000787 68.00000000062312 3.5500000006294385
17266.349999999875 18740.20000000165 20709.65000000058 19076.050000000676 18796.449999999964 22253.450000000896 60.54999999882682 3.299999999484271
13440.649999999721 15493.049999999897 10964.85000000058 10972.750000000531 13056.799999999314 15682.200000000536 152.55000000102825 1233.9000000007873
18656.50000000052 14463.749999999109 17873.049999998613 18805.750000000287 14832.699999999477 22672.7000000011 59.80000000072039 3.399999998876524
20551.000000001095 19271.849999999093 16406.700000000994 18962.450000000073 23658.150000001042 26886.50000000159 83.34999999881632 4.3499999993201754
